Component Name,File Path,Compatibility Level,Total Issues,Blocking Issues,High Issues,Auto-fixable Issues,Uses Hooks,Browser APIs,DOM Access,Can be Server Side,Refactoring Actions
ChartNoScript,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/ChartNoScript/ChartNoScript.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
ChartWithTableTabs,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/ChartWithTableTabs/ChartWithTableTabs.tsx,requires-refactoring,3,3,0,3,false,true,false,false,1
FilterableLineChart,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/FilterableLineChart/FilterableLineChart.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
GridLines,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/GridlLines/GridLines.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
LineChart,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/LineChart/LineChart.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
ED4hTrendGatingEmbeddedNoGateStory,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/ED4hTrendGatingEmbeddedNoGateStory.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
ED4hTrendGatingEmbeddedStory,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/ED4hTrendGatingEmbeddedStory.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
PrimeDirectionSummary,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/PrimeDirectionSummary.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
SPCChart.constants,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCChart.constants.ts,fully-compatible,0,0,0,0,false,false,false,true,0
SPCChart,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCChart.tsx,compatible-with-hydration,1,0,0,0,true,false,true,false,0
SPCChart.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCChart.types.ts,fully-compatible,0,0,0,0,false,false,false,true,0
SPCChartEarlyWaitTimeExample,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCChartEarlyWaitTimeExample.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
SPCChartIndividualsExample,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCChartIndividualsExample.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
SPCChartPhasedBaselineExample,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCChartPhasedBaselineExample.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
